Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,2,FRDM-KE04Z-ND,DEV TOOL FREEDOM KINETIS 40MHZ,,2,0,15.00000,30.00,
2,1,296-36490-ND,EVAL MODULE FOR TAS5760XX,,1,0,100.98000,100.98,
3,25,1028-1295-1-ND,IC REG BUCK ADJ 3A SYNC 8SOP,,25,0,0.73000,18.25,
4,10,1080-1428-ND,TRANSMITTER FBR OPT IR PHOTOLINK,,10,0,0.86600,8.66,
5,10,1080-1433-ND,RECEIVER FIBER OPT IR PHOTOLINK,,10,0,1.64700,16.47,
6,100,1276-1829-1-ND,CAP CER 20PF 50V NP0 0805,,100,0,0.02720,2.72,
7,100,1276-6342-1-ND,FERRITE CHIP 26 OHM 2000MA 0805,,100,0,0.02240,2.24,
8,4,220-1565-ND,IC FPGA 96 I/O 144TQFP,,4,0,5.71000,22.84,
9,10,296-1275-1-ND,IC DIFF BUS TXCVR 8-SOIC,,10,0,0.68000,6.80,
10,4,336-2401-5-ND,IC CLK GENERATOR 160MHZ 20QFN,,4,0,2.69000,10.76,
11,100,490-10743-1-ND,CAP CER 1UF 50V X5R 0805,,100,0,0.08360,8.36,
12,100,490-10756-1-ND,CAP CER 10UF 50V X5R 1206,,100,0,0.15300,15.30,
13,100,490-1615-1-ND,CAP CER 100PF 50V NP0 0805,,100,0,0.03910,3.91,
14,250,490-9672-1-ND,CAP CER 0.1UF 50V X7R 0805,,250,0,0.03760,9.40,
15,100,490-9741-1-ND,CAP CER 1000PF 50V X7R 0805,,100,0,0.02860,2.86,
16,4,495-4962-1-ND,CAP FILM 1000PF 20% 1.5KVDC RAD,,4,0,0.88000,3.52,
17,10,507-1777-1-ND,PTC RESTTBLE 2.0A 8V CHIP 1812,,10,0,0.16100,1.61,
18,10,553-2272-ND,CONN USB TYPE B JACK,,10,0,0.56000,5.60,
19,10,568-6542-1-ND,TVS DIODE 5.5VWM 6TSSOP,,10,0,0.34600,3.46,
20,10,644-1267-1-ND,CRYSTAL 25.0000MHZ 8PF SMD,,10,0,0.64100,6.41,
21,5,732-5932-1-ND,CONN PWR JACK DC RA SMD,,5,0,1.99000,9.95,
22,4,768-1024-1-ND,IC USB HS DUAL UART/FIFO 64-LQFP,,4,0,6.71000,26.84,
23,25,785-1351-1-ND,MOSFET P-CH 40V 40A TO252,,25,0,0.40440,10.11,
24,100,BAT54C-FDICT-ND,DIODE ARRAY SCHOTTKY 30V SOT23-3,,100,0,0.09430,9.43,
25,10,CAT93C56VI-GT3OSCT-ND,IC EEPROM 2KBIT 2MHZ 8SOIC,,10,0,0.39000,3.90,
26,10,ED2991-ND,CONN USB TYPE A R/A VERTICAL,,10,0,0.64200,6.42,
27,25,IRFML8244TRPBFCT-ND,MOSFET N-CH 25V 5.8A SOT23,,25,0,0.18160,4.54,
28,20,MMBZ12VALT1GOSCT-ND,TVS DIODE 8.5VWM 17VC SOT23,,20,0,0.18800,3.76,
29,25,NC7WZ14P6XCT-ND,IC INVERTER DUAL SCHMITT SC70-6,,25,0,0.23200,5.80,
30,100,RMCF0805FT12K0CT-ND,RES SMD 12K OHM 1% 1/8W 0805,,100,0,0.01230,1.23,
31,100,RMCF0805FT16K0CT-ND,RES SMD 16K OHM 1% 1/8W 0805,,100,0,0.01230,1.23,
32,100,RMCF0805FT27K0CT-ND,RES SMD 27K OHM 1% 1/8W 0805,,100,0,0.01230,1.23,
33,100,RMCF0805FT5K10CT-ND,RES SMD 5.1K OHM 1% 1/8W 0805,,100,0,0.01230,1.23,
34,100,RMCF0805JT100KCT-ND,RES SMD 100K OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
35,100,RMCF0805JT10K0CT-ND,RES SMD 10K OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
36,100,RMCF0805JT10R0CT-ND,RES SMD 10 OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
37,100,RMCF0805JT150RCT-ND,RES SMD 150 OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
38,100,RMCF0805JT1M00CT-ND,RES SMD 1M OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
39,100,RMCF0805JT2K20CT-ND,RES SMD 2.2K OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
40,100,RMCF0805JT4K70CT-ND,RES SMD 4.7K OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
41,20,SIP32408DNP-T1-GE4CT-ND,IC LOAD SWITCH 4TDFN,,20,0,0.38700,7.74,
42,25,SRR1280-220MCT-ND,FIXED IND 22UH 4.3A 38.6 MOHM,,25,0,0.86800,21.70,
43,25,TCR2EF12LM(CTCT-ND,IC REG LDO 1.2V 0.2A SMV,,25,0,0.21640,5.41,
44,25,TCR2EF25LM(CTCT-ND,IC REG LDO 2.5V 0.2A SMV,,25,0,0.21640,5.41,
45,10,535-9067-1-ND,CRYSTAL 12.0000MHZ 18PF SMD,,10,0,0.23700,2.37,
,,,,,,Subtotal,414.61
,,,,,,Shipping,unknown
,,,,,,Estimated Sales Tax,39.39
,,,,,,Total,unknown
